window_size,lstm_dim,num_layers,dense_dim,dropout,lr,batch_size,num_epochs,optimizer_type,train_mse,test_mse,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_mape,test_mape,train_directional_acc,test_directional_acc,training_time,evaluation_time,patience,activation_function
1,50,1,50,0.0,0.0001,8,50,Adam,203491.67891588833,141331.14961867573,275.38996476742705,239.87193031047957,451.1005197468612,375.94035380453073,0.9728840577484579,0.9797332571626483,3.4149068121372426,2.1310008740502746,0.5026910656620022,0.43722943722943725,10.277858972549438,0.003000497817993164,24,Tanh
1,50,1,50,0.0,0.0001,8,65,Adam,187504.41122847135,125622.73184732116,253.62340835781683,224.6673050242458,433.0177955101515,354.4329722914068,0.9750144142803883,0.9819858282640134,3.09220646529351,1.9879279231136624,0.49946178686759957,0.43722943722943725,12.986562728881836,0.0019996166229248047,24,Tanh
1,50,1,50,0.0,0.0001,8,80,Adam,184291.41584659944,149933.59120242595,255.26812575323015,243.48167042699367,429.29176074856065,387.2125917405398,0.9754425565891719,0.9784996758055193,3.1638157620973986,2.0835521343241106,0.4897739504843918,0.47186147186147187,16.10376000404358,0.0019996166229248047,24,Tanh
1,50,1,65,0.0,0.0001,8,50,Adam,195792.57347022352,137608.39744527458,264.4535482792718,240.8012334152749,442.4845460241787,370.9560586447869,0.9739099891269074,0.9802670960307894,3.2613473763412384,2.1400781771280912,0.49623250807319697,0.45021645021645024,10.068955898284912,0.0020034313201904297,24,Tanh
1,50,1,65,0.0,0.0001,8,65,Adam,230747.98599090366,149719.1028007891,328.0521605314559,277.9232433661098,480.3623486399654,386.93552796401246,0.9692520642803519,0.978530433223748,4.387061958581692,2.5476678680245666,0.4951560818083961,0.4458874458874459,13.25171184539795,0.003009319305419922,24,Tanh
1,50,1,65,0.0,0.0001,8,80,Adam,187979.23181468755,186933.97754617265,255.9757862770037,301.3326006869613,433.565717988274,432.3586214546585,0.9749511428598354,0.9731938581076189,3.081578459147687,2.6005248589865646,0.4897739504843918,0.48484848484848486,16.056098461151123,0.003016948699951172,24,Tanh
1,50,1,80,0.0,0.0001,8,50,Adam,189175.93375521654,130865.314041513,261.65942648197677,230.16569083378243,434.94359836100193,361.7531119997629,0.9747916783506007,0.9812340473196141,3.280745686287559,2.0236837447213527,0.49730893433799783,0.4458874458874459,10.147446632385254,0.0025000572204589844,24,Tanh
1,50,1,80,0.0,0.0001,8,65,Adam,190571.22320789125,145011.76095616943,271.4208154058679,244.7278429754851,436.5446405671375,380.804097872081,0.9746057513956289,0.9792054612474344,3.4942134888919743,2.1089711079930438,0.49623250807319697,0.45021645021645024,13.01327919960022,0.001999378204345703,24,Tanh
1,50,1,80,0.0,0.0001,8,80,Adam,180854.8249158253,140906.71029798334,252.51591193854603,233.0948584826241,425.27029630086474,375.37542580459814,0.9759004937476715,0.9797941213287273,3.1410598545375175,2.0167715766604046,0.4908503767491927,0.4675324675324675,16.397867441177368,0.002000093460083008,24,Tanh
1,65,1,50,0.0,0.0001,8,50,Adam,191910.811246183,129844.83532476275,267.17207488797476,225.3049310513201,438.0762619067404,360.3398886117977,0.9744272468391739,0.9813803829277172,3.4440966186583504,1.9884837816882526,0.5016146393972013,0.44155844155844154,9.87258768081665,0.0019998550415039062,24,Tanh
1,65,1,50,0.0,0.0001,8,65,Adam,187025.7921884561,133094.3257427524,256.289319406624,234.66251144935356,432.4647872237185,364.8209502519728,0.975078191857529,0.9809144093130433,3.1788090722896754,2.0687800146327944,0.4940796555435953,0.4329004329004329,13.131625890731812,0.0019996166229248047,24,Tanh
1,65,1,50,0.0,0.0001,8,80,Adam,186308.30749223384,158981.4584398856,257.7928510871515,265.02646661166506,431.63446050128323,398.72479035029363,0.9751737990769139,0.9772022208635419,3.220953370250575,2.2907180639392153,0.4983853606027987,0.46320346320346323,16.096181392669678,0.002002716064453125,24,Tanh
1,65,1,65,0.0,0.0001,8,50,Adam,193216.7899151631,124081.21653930131,270.5846543990634,224.10314192147092,439.56431829160465,352.2516380931412,0.9742532208428359,0.9822068799883626,3.4706806131491845,1.9902493951027302,0.5016146393972013,0.43722943722943725,10.140026569366455,0.001999378204345703,24,Tanh
1,65,1,65,0.0,0.0001,8,65,Adam,198282.02758587265,174589.35532369895,272.31443657312263,305.112837587554,445.2887013903145,417.8389107343869,0.9735782610955823,0.9749640643550184,3.297670927961853,2.7274901167103742,0.4951560818083961,0.45021645021645024,13.349379062652588,0.002507448196411133,24,Tanh
1,65,1,65,0.0,0.0001,8,80,Adam,187183.11040555732,146746.4314220157,262.0445111803975,243.56796546672962,432.6466345709363,383.0749684095996,0.9750572286824607,0.97895671127028,3.2968510089748904,2.092394478934174,0.4908503767491927,0.47186147186147187,16.200313806533813,0.002499103546142578,24,Tanh
1,65,1,80,0.0,0.0001,8,50,Adam,188969.88503387733,132947.22593496233,258.8972240920238,233.214875404095,434.70666550431145,364.6192890330438,0.97481913502725,0.9809355032755841,3.220418447322303,2.052639065907439,0.49623250807319697,0.44155844155844154,10.213839530944824,0.002000093460083008,24,Tanh
1,65,1,80,0.0,0.0001,8,65,Adam,187300.37625885426,141341.58137642362,255.90843027271941,248.2677877491919,432.7821348656322,375.95422776772125,0.9750416026179306,0.9797317612592173,3.145055249866962,2.19104348157675,0.4930032292787944,0.45021645021645024,13.27206015586853,0.0024995803833007812,24,Tanh
1,65,1,80,0.0,0.0001,8,80,Adam,184880.70539821513,187343.8383447981,257.30772587713807,278.67897671403574,429.9775638312017,432.83234438382505,0.9753640317986931,0.9731350844867486,3.209182172629964,2.329398225712854,0.49192680301399355,0.47619047619047616,16.440742015838623,0.0019998550415039062,24,Tanh
1,80,1,50,0.0,0.0001,8,50,Adam,189676.08865310132,134086.25028454803,263.22863414326713,227.59013192012395,435.51818406709646,366.1778943144275,0.9747250310488529,0.9807721683445316,3.3713179843978347,2.0005850959526374,0.4865446716899892,0.4329004329004329,10.215846061706543,0.0020008087158203125,24,Tanh
1,80,1,50,0.0,0.0001,8,65,Adam,190692.47802338912,122786.27525630304,265.7820141625883,221.3951997743804,436.68349868456113,350.4087259990867,0.9745895937886335,0.9823925732487855,3.3879924855977896,1.9626679831567269,0.49623250807319697,0.44155844155844154,13.372417449951172,0.0020003318786621094,24,Tanh
1,80,1,50,0.0,0.0001,8,80,Adam,189987.4224017513,203592.57602499163,264.5602900677463,323.5721256229797,435.87546662062925,451.21234028447367,0.9746835447925385,0.9708050320610478,3.2224099112998874,2.7983816533622545,0.4930032292787944,0.4675324675324675,16.123526334762573,0.0030014514923095703,24,Tanh
1,80,1,65,0.0,0.0001,8,50,Adam,195327.7325614634,179220.83679441438,268.9504546237779,310.2279887021822,441.9589715815976,423.3448202050125,0.9739719307222848,0.9742999146316474,3.2565922232561397,2.7709095387785263,0.5026910656620022,0.45021645021645024,10.418293237686157,0.003000020980834961,24,Tanh
1,80,1,65,0.0,0.0001,8,65,Adam,187275.36995345232,125971.48560375566,257.0372460699304,223.16218834186432,432.75324372377884,354.9246196078199,0.9750449347912009,0.9819358173307244,3.173470118810347,1.9656990006766133,0.4897739504843918,0.47186147186147187,13.221402406692505,0.002999544143676758,24,Tanh
1,80,1,65,0.0,0.0001,8,80,Adam,182749.66874003463,154856.80969204658,250.69992593594182,255.52948570514565,427.49230255062446,393.5184998091533,0.9756479995130832,0.9777936912909204,3.0690193498801746,2.194648334623426,0.4897739504843918,0.46320346320346323,16.490272045135498,0.007002353668212891,24,Tanh
1,80,1,80,0.0,0.0001,8,50,Adam,188087.3296900053,126679.8676842636,256.3132429407301,223.38565665409496,433.690361536898,355.9211537465336,0.9749367384588288,0.9818342360622286,3.1730178354027463,1.9743555135024575,0.49192680301399355,0.43722943722943725,10.151656150817871,0.005506992340087891,24,Tanh
1,80,1,80,0.0,0.0001,8,65,Adam,187627.47376145053,132013.7588147635,264.5293497325648,229.063675831762,433.15987090386216,363.33697694394317,0.9749980157890329,0.9810693615094075,3.378273276788434,2.0008970138672066,0.49623250807319697,0.45454545454545453,13.304090738296509,0.004500150680541992,24,Tanh
1,80,1,80,0.0,0.0001,8,80,Adam,190647.4890497184,169785.03551080855,261.7917389399741,288.5785891197469,436.63198353959183,412.04979736775573,0.9745955887188366,0.9756529989205331,3.1844963067285152,2.5339476163229007,0.4930032292787944,0.47186147186147187,16.322919368743896,0.004003763198852539,24,Tanh
